special_ability_phase_stat_effects_tables
3
phase	value	stat	how
wh2_dlc15_army_abilities_grimgors_waaagh	1.5	stat_melee_damage_ap	mult
wh2_dlc15_army_abilities_grimgors_waaagh	1.5	stat_melee_damage_base	mult
wh2_dlc15_army_abilities_groms_big_waaagh	40	stat_melee_attack	add
wh2_dlc15_army_abilities_groms_big_waaagh	1.25	stat_melee_damage_ap	mult
wh2_dlc15_army_abilities_groms_big_waaagh	1.25	stat_melee_damage_base	mult
wh2_dlc15_army_abilities_groms_waaagh	24	stat_melee_attack	add
wh2_dlc15_army_abilities_groms_waaagh	1.25	stat_melee_damage_ap	mult
wh2_dlc15_army_abilities_groms_waaagh	1.25	stat_melee_damage_base	mult
wh2_dlc15_army_abilities_oath_of_replenishment_upgraded	1.25	scalar_missile_damage_ap	mult
wh2_dlc15_army_abilities_oath_of_replenishment_upgraded	1.25	scalar_missile_damage_base	mult
wh2_dlc15_army_abilities_oath_of_replenishment	8	stat_morale	add
wh2_dlc15_army_abilities_skarsniks_big_waaagh	1.5	scalar_missile_damage_ap	mult
wh2_dlc15_army_abilities_skarsniks_big_waaagh	1.5	scalar_missile_damage_base	mult
wh2_dlc15_army_abilities_skarsniks_big_waaagh	40	stat_melee_attack	add
wh2_dlc15_army_abilities_skarsniks_big_waaagh	1.25	stat_melee_damage_ap	mult
wh2_dlc15_army_abilities_skarsniks_big_waaagh	1.25	stat_melee_damage_base	mult
wh2_dlc15_army_abilities_skarsniks_waaagh	1.5	scalar_missile_damage_ap	mult
wh2_dlc15_army_abilities_skarsniks_waaagh	1.5	scalar_missile_damage_base	mult
wh2_dlc15_army_abilities_skarsniks_waaagh	24	stat_melee_attack	add
wh2_dlc15_army_abilities_skarsniks_waaagh	1.25	stat_melee_damage_ap	mult
wh2_dlc15_army_abilities_skarsniks_waaagh	1.25	stat_melee_damage_base	mult
wh2_dlc15_army_abilities_unleash_the_winds	1.5	scalar_miscast_chance	mult
wh2_dlc15_army_abilities_waaagh	24	stat_melee_attack	add
wh2_dlc15_army_abilities_waaagh	1.25	stat_melee_damage_ap	mult
wh2_dlc15_army_abilities_waaagh	1.25	stat_melee_damage_base	mult
wh2_dlc15_army_abilities_wurrzags_big_waaagh	40	stat_melee_attack	add
wh2_dlc15_army_abilities_wurrzags_big_waaagh	1.25	stat_melee_damage_ap	mult
wh2_dlc15_army_abilities_wurrzags_big_waaagh	1.25	stat_melee_damage_base	mult
wh2_dlc15_army_abilities_wurrzags_waaagh	24	stat_melee_attack	add
wh2_dlc15_army_abilities_wurrzags_waaagh	1.25	stat_melee_damage_ap	mult
wh2_dlc15_army_abilities_wurrzags_waaagh	1.25	stat_melee_damage_base	mult
wh2_dlc15_army_abilities_wurrzags_waaagh	22	stat_resistance_physical	add
wh2_dlc15_character_abilities_sausage_busta	1.24	stat_charge_bonus	mult
wh2_dlc15_character_abilities_sausage_busta	12	stat_morale	add
wh2_dlc15_character_abilities_they_needs_stabbin	-30	stat_armour	add
wh2_dlc15_character_abilities_they_needs_stabbin	-24	stat_melee_defence	add
wh2_dlc15_character_abilities_wardens_cage	-60	stat_armour	add
wh2_dlc15_character_abilities_wardens_cage	-48	stat_melee_defence	add
wh2_dlc15_hero_abilities_mither	0.28	scalar_charge_speed	mult
wh2_dlc15_hero_abilities_mither	0.28	scalar_speed	mult
wh2_dlc15_hero_passive_ballistics_instructor	1.1	scalar_missile_range	mult
wh2_dlc15_item_abilities_azhags_ard_armour	30	stat_armour	add
wh2_dlc15_item_abilities_azhags_ard_armour	24	stat_melee_defence	add
wh2_dlc15_item_abilities_blood_forged_armour	30	stat_armour	add
wh2_dlc15_item_abilities_lucky_banner	40	stat_melee_attack	add
wh2_dlc15_item_abilities_lucky_banner	40	stat_resistance_all	add
wh2_dlc15_item_abilities_vine_dragon_scale	-24	stat_melee_defence	add
wh2_dlc15_lord_abilities_bad_trip	-40	stat_melee_defence	add
wh2_dlc15_lord_abilities_da_great_un_iz_ere	24	stat_melee_attack	add
wh2_dlc15_lord_abilities_da_great_un_iz_ere	1.3	stat_melee_damage_base	mult
wh2_dlc15_lord_abilities_da_great_un_iz_ere	16	stat_morale	add
wh2_dlc15_lord_abilities_dragonhorn	24	stat_melee_attack	add
wh2_dlc15_lord_abilities_lord_of_dragons	-40	stat_melee_attack	add
wh2_dlc15_lord_abilities_lord_of_dragons	-24	stat_melee_defence	add
wh2_dlc15_lord_abilities_smash_em_faster	24	stat_melee_attack	add
wh2_dlc15_lord_abilities_smash_em_faster	16	stat_morale	add
wh2_dlc15_lord_abilities_wardens_stand	10	stat_melee_defence	add
wh2_dlc15_lord_abilities_wardens_stand	4	stat_morale	add
wh2_dlc15_lord_abilities_youre_next	0.52	scalar_speed	mult
wh2_dlc15_lord_abilities_youre_next	-24	stat_melee_attack	add
wh2_dlc15_lord_abilities_youre_next	-40	stat_melee_defence	add
wh2_dlc15_lord_passive_best_of_da_best	10	stat_melee_defence	add
wh2_dlc15_lord_passive_best_of_da_best	11	stat_resistance_all	add
wh2_dlc15_lord_passive_language_of_da_boyz	5	stat_melee_defence	add
wh2_dlc15_lord_passive_language_of_da_boyz	4	stat_morale	add
wh2_dlc15_unit_abilities_mighty_roar	0.75	scalar_speed	mult
wh2_dlc15_unit_abilities_mighty_roar	-8	stat_morale	add
wh2_dlc15_unit_abilities_mimic_cold_blooded	16	stat_morale	add
wh2_dlc15_unit_abilities_mimic_grand_hammer_of_faith	24	stat_melee_attack	add
wh2_dlc15_unit_abilities_mimic_grand_hammer_of_faith	22	stat_resistance_all	add
wh2_dlc15_unit_active_mimic_ruinshelter	0.25	scalar_speed	mult
wh2_dlc15_unit_active_mimic_ruinshelter	45	stat_armour	add
wh2_dlc15_unit_active_mimic_ruinshelter	10	stat_melee_attack	add
wh2_dlc15_unit_active_mimic_ruinshelter	10	stat_melee_defence	add
wh2_dlc15_unit_contact_nightgoblin_poison	0.8	scalar_missile_damage_ap	mult
wh2_dlc15_unit_contact_nightgoblin_poison	0.8	scalar_missile_damage_base	mult
wh2_dlc15_unit_contact_nightgoblin_poison	0.76	scalar_speed	mult
wh2_dlc15_unit_contact_nightgoblin_poison	0.8	stat_melee_damage_ap	mult
wh2_dlc15_unit_contact_nightgoblin_poison	0.8	stat_melee_damage_base	mult
wh2_dlc15_unit_contact_orrible_smell	-6	stat_morale	add
wh2_dlc15_unit_contact_rattled	-10	stat_melee_attack	add
wh2_dlc15_unit_contact_rattled	-10	stat_melee_defence	add
wh2_dlc15_unit_contact_shackolot_breath	0.7	stat_melee_attack	mult
wh2_dlc15_unit_contact_shackolot_breath	-10	stat_morale	add
wh2_dlc15_unit_contact_shackolot_breath	-30	stat_reloading	add
wh2_dlc15_unit_passive_ghostly_protection	15	stat_resistance_physical	add
wh2_dlc15_unit_passive_grim_discipline	8	stat_melee_attack	add
wh2_dlc15_unit_passive_grim_discipline	12	stat_melee_defence	add
wh2_dlc15_unit_passive_immense_power	1.12	stat_melee_damage_ap	mult
wh2_dlc15_unit_passive_immense_power	1.12	stat_melee_damage_base	mult
wh2_dlc15_unit_passive_mimic_ethereal	0	stat_armour	mult
wh2_dlc15_unit_passive_mimic_ethereal	65	stat_resistance_physical	add
wh2_dlc15_unit_passive_mimic_forest_walker	1.25	stat_melee_attack	mult
wh2_dlc15_unit_passive_mimic_forest_walker	1.25	stat_melee_defence	mult
wh2_dlc15_unit_passive_monstrous_disease	12	stat_bonus_vs_large	add
wh2_dlc15_unit_passive_monstrous_disease	8	stat_morale	add
wh2_dlc15_unit_passive_overwhelming_odour	-6	stat_melee_attack	add
wh2_dlc15_unit_passive_padded_shield	40	stat_missile_block_chance	add
wh2_dlc15_unit_passive_pump_harder_ladz	1.24	scalar_charge_speed	mult
wh2_dlc15_unit_passive_pump_harder_ladz	0.025	scalar_dealt_collision_knocked_back_threshold_modifier	mult
wh2_dlc15_unit_passive_pump_harder_ladz	0.022	scalar_dealt_collision_knocked_down_threshold_modifier	mult
wh2_dlc15_unit_passive_pump_harder_ladz	0.02	scalar_dealt_collision_knocked_flying_threshold_modifier	mult
wh2_dlc15_unit_passive_pump_harder_ladz	1.24	scalar_speed	mult
wh2_dlc15_unit_passive_pump_harder_ladz	1.18	stat_charge_bonus	mult
wh2_dlc15_unit_passive_rubble_and_ruin_tier_1	-30	stat_armour	add
wh2_dlc15_unit_passive_rubble_and_ruin_tier_1	1.3	stat_melee_damage_ap	mult
wh2_dlc15_unit_passive_rubble_and_ruin_tier_2	-30	stat_armour	add
wh2_dlc15_unit_passive_rubble_and_ruin_tier_2	1.3	stat_melee_damage_ap	mult
wh2_dlc15_unit_passive_rubble_and_ruin_tier_3	-30	stat_armour	add
wh2_dlc15_unit_passive_rubble_and_ruin_tier_3	1.3	stat_melee_damage_ap	mult
wh2_dlc15_unit_passive_sorcery_weapon	6	stat_melee_damage_ap	add
wh2_dlc15_unit_passive_spiky_skin	8	stat_melee_defence	add
wh2_dlc15_unit_passive_spirit_of_gork_or_mork	4	stat_morale	add
wh2_dlc15_weapon_abilities_axe_of_grom	1.5	stat_melee_damage_ap	mult
wh2_dlc15_weapon_abilities_axe_of_grom	1.5	stat_melee_damage_base	mult
wh2_dlc15_weapon_abilities_fangsword_of_eltharion	1.25	stat_melee_damage_ap	mult
wh2_dlc15_weapon_abilities_fangsword_of_eltharion	44	stat_resistance_physical	add
wh2_dlc15_weapon_abilities_star_lance	1.2	scalar_charge_speed	mult
wh2_dlc15_weapon_abilities_star_lance	1.5	stat_charge_bonus	mult
wh2_dlc15_weapon_abilities_star_lance	1.25	stat_melee_damage_ap	mult
wh2_dlc15_weapon_passive_slaggas_slashas	10	stat_melee_attack	add
wh2_dlc15_weapon_passive_slaggas_slashas	4	stat_morale	add
wh2_main_army_abilities_holy_stela	0.75	scalar_missile_damage_base	mult
wh2_main_army_abilities_holy_stela	-30	stat_accuracy	add
wh2_main_army_abilities_mors_clanstone	1.5	stat_melee_damage_ap	mult
wh2_main_army_abilities_skyre_clanstone	-44	stat_resistance_magic	add
wh2_main_army_abilities_temple_of_mists	0.75	scalar_missile_damage_base	mult
wh2_main_army_abilities_temple_of_mists	-30	stat_accuracy	add
wh2_main_banner_passive_battle_banner	-4	stat_morale	add
wh2_main_banner_passive_sacred_banner_of_the_horned_rat	-8	stat_morale	add
wh2_main_banner_passive_storm_banner	0.9400001	scalar_missile_damage_base	mult
wh2_main_character_abilities_assassins_trophy	-24	stat_melee_attack	add
wh2_main_character_abilities_assassins_trophy	-24	stat_melee_defence	add
wh2_main_character_abilities_cold_blooded	16	stat_morale	add
wh2_main_character_abilities_dark_venom	1.9	stat_melee_damage_base	mult
wh2_main_character_abilities_shield_of_the_old_ones	8	stat_morale	add
wh2_main_character_abilities_shield_of_the_old_ones	22	stat_resistance_all	add
wh2_main_character_abilities_swiftness_of_itzl	1.36	scalar_speed	mult
wh2_main_character_abilities_verminous_valour	1.24	scalar_speed	mult
wh2_main_character_abilities_verminous_valour	8	stat_morale	add
wh2_main_character_abilities_witchbrew	24	stat_melee_attack	add
wh2_main_character_abilities_witchbrew	1.6	stat_melee_damage_base	mult
wh2_main_character_passive_aura_of_pestilence	-5	stat_melee_attack	add
wh2_main_character_passive_darken_the_skies	20	stat_reloading	add
wh2_main_character_passive_horn_of_isha	5	stat_melee_attack	add
wh2_main_character_passive_horn_of_isha	5	stat_reloading	add
wh2_main_character_passive_loose	10	stat_reloading	add
wh2_main_faction_abilities_murderous_mastery	1.25	stat_charge_bonus	mult
wh2_main_faction_abilities_murderous_mastery	1.25	stat_melee_attack	mult
wh2_main_faction_abilities_murderous_mastery	15	stat_morale	add
wh2_main_faction_abilities_murderous_prowess	1.2	scalar_missile_damage_ap	mult
wh2_main_faction_abilities_murderous_prowess	1.25	stat_charge_bonus	mult
wh2_main_faction_abilities_murderous_prowess	1.25	stat_melee_attack	mult
wh2_main_faction_abilities_murderous_prowess	15	stat_morale	add
wh2_main_item_abilities_amulet_of_itzl	66	stat_resistance_all	add
wh2_main_item_abilities_aura_of_quetzl	30	stat_armour	add
wh2_main_item_abilities_aura_of_quetzl	24	stat_melee_defence	add
wh2_main_item_abilities_blade_of_bel_korhadris	24	stat_melee_attack	add
wh2_main_item_abilities_blade_of_bel_korhadris	1.25	stat_melee_damage_ap	mult
wh2_main_item_abilities_dragonhorn	1.25	scalar_missile_damage_base	mult
wh2_main_item_abilities_dragonhorn	1.3	stat_melee_damage_base	mult
wh2_main_item_abilities_pearl_of_infinite_bleakness	8	stat_morale	add
wh2_main_item_abilities_plaque_of_dominion	-8	stat_morale	add
wh2_main_item_abilities_rival_hide_talisman	-40	stat_melee_attack	add
wh2_main_item_abilities_scrying_stone	8	stat_morale	add
wh2_main_item_abilities_scrying_stone	22	stat_resistance_all	add
wh2_main_item_abilities_skavenbrew	-30	stat_armour	add
wh2_main_item_abilities_skavenbrew	40	stat_melee_attack	add
wh2_main_item_abilities_skavenbrew	1.3	stat_melee_damage_base	mult
wh2_main_item_abilities_talisman_of_loec	24	stat_melee_attack	add
wh2_main_item_abilities_talisman_of_loec	1.3	stat_melee_damage_base	mult
wh2_main_item_abilities_the_bane_shield	30	stat_armour	add
wh2_main_item_abilities_the_bane_shield	24	stat_missile_block_chance	add
wh2_main_item_abilities_the_guiding_eye	1.2	scalar_missile_damage_ap	mult
wh2_main_item_abilities_the_horn_of_kygor	1.18	stat_charge_bonus	mult
wh2_main_item_abilities_the_horn_of_kygor	24	stat_melee_attack	add
wh2_main_item_abilities_the_horn_of_kygor	8	stat_morale	add
wh2_main_item_abilities_the_tricksters_pendant	1.5	scalar_miscast_chance	mult
wh2_main_item_abilities_warpstorm_scroll	0.52	scalar_speed	mult
wh2_main_item_abilities_worlds_edge_armour	60	stat_armour	add
wh2_main_item_passive_blessed_tome	8	stat_morale	add
wh2_main_item_passive_circlet_of_iron	1.5	scalar_miscast_chance	mult
wh2_main_item_passive_curse_charm_of_tepok	1.25	scalar_miscast_chance	mult
wh2_main_item_passive_diamond_guardian_phoenix	12	stat_resistance_physical	add
wh2_main_item_passive_enchanted_spyglass	1.1	scalar_missile_damage_base	mult
wh2_main_item_passive_loremasters_cloak	22	stat_resistance_magic	add
wh2_main_item_passive_pipes_of_piebald	0.9400001	scalar_charge_speed	mult
wh2_main_item_passive_pipes_of_piebald	0.92	stat_charge_bonus	mult
wh2_main_item_passive_portents_of_verminous_doom	-4	stat_morale	add
wh2_main_item_passive_ring_of_hotek	1.25	scalar_miscast_chance	mult
wh2_main_item_passive_ruby_guardian_phoenix	12	stat_resistance_flame	add
wh2_main_item_passive_sacred_incense	12	stat_resistance_missile	add
wh2_main_item_passive_sapphire_guardian_phoenix	12	stat_resistance_magic	add
wh2_main_item_passive_shadow_magnet_trinket	12	stat_missile_block_chance	add
wh2_main_item_passive_shield_of_distraction	-5	stat_melee_attack	add
wh2_main_item_passive_shield_of_ghrond	0.88	stat_melee_damage_base	mult
wh2_main_item_passive_sunburst_standard_of_hexoatl	9	stat_melee_defence	add
wh2_main_item_passive_sunburst_standard_of_hexoatl	12	stat_resistance_missile	add
wh2_main_item_passive_war_drum_of_xahutec	1.06	scalar_speed	mult
wh2_main_item_passive_war_drum_of_xahutec	1.04	stat_charge_bonus	mult
wh2_main_item_passive_war_drum_of_xahutec	4	stat_morale	add
wh2_main_item_passive_warp_shard_armour	-23	stat_armour	add
wh2_main_item_passive_warp_shard_armour	-5	stat_melee_defence	add
wh2_main_lord_abilities_feint_and_reposte	24	stat_melee_attack	add
wh2_main_lord_abilities_feint_and_reposte	24	stat_melee_defence	add
wh2_main_lord_abilities_feint_and_reposte	22	stat_resistance_physical	add
wh2_main_lord_abilities_potion_of_charoi	44	stat_resistance_all	add
wh2_main_lord_abilities_sacred_spawning_of_xhotl	22	stat_resistance_physical	add
wh2_main_lord_abilities_trophy_heads	-24	stat_melee_attack	add
wh2_main_lord_abilities_trophy_heads	-40	stat_melee_defence	add
wh2_main_lord_passive_enchanting_beauty	0.92	stat_charge_bonus	mult
wh2_main_lord_passive_enchanting_beauty	-9	stat_melee_attack	add
wh2_main_lord_passive_glamour_of_hoeth	3	scalar_bracing	mult
wh2_main_lord_passive_glamour_of_hoeth	4	stat_morale	add
wh2_main_lord_passive_kindle_the_fury	9	stat_melee_attack	add
wh2_main_lord_passive_kindle_the_fury	1.08	stat_melee_damage_base	mult
wh2_main_lord_passive_strength_through_spite	5	stat_melee_attack	add
wh2_main_lore_passive_musk_of_fear	-12	stat_melee_attack	add
wh2_main_lore_passive_musk_of_fear	-4	stat_morale	add
wh2_main_lore_passive_plague_rash	0.88	scalar_speed	mult
wh2_main_lore_passive_shield_of_saphery	11	stat_resistance_all	add
wh2_main_lore_passive_spiteful_conjuration	-15	stat_armour	add
wh2_main_mount_abilities_unholy_clamour	16	stat_morale	add
wh2_main_mount_passive_wall_of_unholy_sound	5	stat_melee_attack	add
wh2_main_mount_passive_wall_of_unholy_sound	4	stat_morale	add
wh2_main_spell_bound_embers_of_the_phoenix	1.25	scalar_missile_damage_base	mult
wh2_main_spell_bound_embers_of_the_phoenix	1.3	stat_melee_damage_base	mult
wh2_main_spell_bound_the_seerstaff_of_saphery	24	stat_melee_attack	add
wh2_main_spell_bound_the_seerstaff_of_saphery	40	stat_reloading	add
wh2_main_spell_bound_whip_of_agony	-30	stat_accuracy	add
wh2_main_spell_bound_whip_of_agony	-24	stat_melee_attack	add
wh2_main_spell_dark_magic_chillwind_upgraded	0.52	scalar_speed	mult
wh2_main_spell_dark_magic_chillwind_upgraded	-20	stat_reloading	add
wh2_main_spell_dark_magic_chillwind	0.76	scalar_speed	mult
wh2_main_spell_dark_magic_word_of_pain_upgraded	-30	stat_accuracy	add
wh2_main_spell_dark_magic_word_of_pain_upgraded	-40	stat_melee_attack	add
wh2_main_spell_dark_magic_word_of_pain_upgraded	-24	stat_melee_defence	add
wh2_main_spell_dark_magic_word_of_pain	-30	stat_accuracy	add
wh2_main_spell_dark_magic_word_of_pain	-40	stat_melee_attack	add
wh2_main_spell_high_magic_hand_of_glory_upgraded	24	stat_melee_attack	add
wh2_main_spell_high_magic_hand_of_glory_upgraded	60	stat_reloading	add
wh2_main_spell_high_magic_hand_of_glory	24	stat_melee_attack	add
wh2_main_spell_high_magic_hand_of_glory	40	stat_reloading	add
wh2_main_spell_high_magic_tempest_upgraded	0.28	scalar_speed	mult
wh2_main_spell_high_magic_tempest	0.28	scalar_speed	mult
wh2_main_spell_plague_wither_upgraded	-60	stat_armour	add
wh2_main_spell_plague_wither	-30	stat_armour	add
wh2_main_spell_ruin_death_frenzy	24	stat_melee_attack	add
wh2_main_spell_ruin_death_frenzy	1.3	stat_melee_damage_base	mult
wh2_main_spell_ruin_skitterleap_upgraded	1.24	scalar_speed	mult
wh2_main_spell_ruin_skitterleap	1.24	scalar_speed	mult
wh2_main_unit_abilities_fury_of_khaine	1.18	stat_charge_bonus	mult
wh2_main_unit_abilities_fury_of_khaine	24	stat_melee_attack	add
wh2_main_unit_abilities_fury_of_khaine	1.3	stat_melee_damage_base	mult
wh2_main_unit_contact_noxious_breath	0.7	stat_melee_attack	mult
wh2_main_unit_contact_noxious_breath	-30	stat_reloading	add
wh2_main_unit_contact_plague_monk_censer_morale	-10	stat_morale	add
wh2_main_unit_contact_weeping_blade	0.5	stat_armour	mult
wh2_main_unit_contact_witch_elf_poison	0.8	scalar_speed	mult
wh2_main_unit_contact_witch_elf_poison	0.9	stat_melee_defence	mult
wh2_main_unit_passive_attuned_to_magic	12	stat_resistance_all	add
wh2_main_unit_passive_blizzard_aura	-9	stat_melee_attack	add
wh2_main_unit_passive_blizzard_aura	0.88	stat_melee_damage_ap	mult
wh2_main_unit_passive_blizzard_aura	0.88	stat_melee_damage_base	mult
wh2_main_unit_passive_bloodshield_of_khaine	6	stat_resistance_physical	add
wh2_main_unit_passive_martial_mastery	8	stat_melee_attack	add
wh2_main_unit_passive_martial_mastery	12	stat_melee_defence	add
wh2_main_unit_passive_martial_prowess	2	stat_melee_attack	add
wh2_main_unit_passive_martial_prowess	12	stat_melee_defence	add
wh2_main_unit_passive_primal_instincts	1.16	stat_charge_bonus	mult
wh2_main_unit_passive_primal_instincts	8	stat_melee_attack	add
wh2_main_unit_passive_scurry_away	1.12	scalar_speed	mult
wh2_main_unit_passive_snare_net	0.88	scalar_charge_speed	mult
wh2_main_unit_passive_snare_net	0.88	scalar_speed	mult
wh2_main_unit_passive_strength_in_numbers	0.88	scalar_speed	mult
wh2_main_unit_passive_strength_in_numbers	8	stat_melee_defence	add
wh2_main_unit_passive_strength_in_numbers	6	stat_morale	add
wh2_main_weapon_abilities_dwarf_gouger	24	stat_melee_attack	add
wh2_main_weapon_abilities_dwarf_gouger	1.5	stat_melee_damage_ap	mult
wh2_main_weapon_abilities_hydra_blade	1.5	stat_melee_damage_ap	mult
wh2_main_weapon_abilities_hydra_blade	1.5	stat_melee_damage_base	mult
wh2_main_weapon_abilities_web_of_shadows	0.76	scalar_speed	mult
wh2_main_weapon_passive_chillblade	0.88	scalar_speed	mult
wh2_main_weapon_passive_chillblade	-5	stat_melee_attack	add
wh2_main_weapon_passive_heartrender_and_the_darksword	-9	stat_melee_attack	add
wh2_main_weapon_passive_heartrender_and_the_darksword	-9	stat_melee_defence	add
wh2_pro08_character_abilities_gotrek_doom	40	stat_melee_defence	add
wh2_pro08_character_abilities_gotrek_doom	44	stat_resistance_all	add
wh2_pro08_character_abilities_helping_hand	40	stat_melee_attack	add
wh2_pro08_character_abilities_helping_hand	44	stat_resistance_all	add
wh2_pro08_unit_contact_dampen	-22	stat_resistance_magic	add
wh2_pro08_weapon_abilities_karaghul	32	stat_bonus_vs_infantry	add
wh2_pro08_weapon_abilities_karaghul	40	stat_melee_attack	add
wh2_pro08_weapon_abilities_rune_axe_of_gotrek	1.5	stat_melee_damage_ap	mult
wh_dlc01_banner_passive_blasted_standard	12	stat_missile_block_chance	add
wh_dlc01_item_passive_helm_of_many_eyes	7	stat_armour	add
wh_dlc01_item_passive_helm_of_many_eyes	5	stat_melee_attack	add
wh_dlc01_item_passive_the_crown_of_domination	4	stat_morale	add
wh_dlc01_weapon_abilities_starcrusher	1.32	scalar_splash_attack_power	mult
wh_dlc01_weapon_abilities_starcrusher	1.5	stat_melee_damage_ap	mult
wh_dlc01_weapon_abilities_the_slayer_of_kings	1.32	scalar_splash_attack_power	mult
wh_dlc01_weapon_abilities_the_slayer_of_kings	1.75	stat_melee_damage_ap	mult
wh_dlc01_weapon_abilities_the_slayer_of_kings	1.75	stat_melee_damage_base	mult
wh_dlc02_unit_passive_the_flag_of_blood_keep	22	stat_resistance_missile	add
wh_dlc03_banner_passive_manbane_standard	-4	stat_morale	add
wh_dlc03_banner_passive_totem_of_rust	-7	stat_armour	add
wh_dlc03_character_abilities_apocalyptic_vision	24	stat_melee_attack	add
wh_dlc03_character_abilities_apocalyptic_vision	16	stat_morale	add
wh_dlc03_character_abilities_call_of_violence	16	stat_morale	add
wh_dlc03_hero_passive_something_wicked_this_way_comes	-4	stat_morale	add
wh_dlc03_hero_passive_strength_of_the_land_iii	23	stat_armour	add
wh_dlc03_hero_passive_strength_of_the_land_ii	15	stat_armour	add
wh_dlc03_hero_passive_strength_of_the_land_i	7	stat_armour	add
wh_dlc03_hero_passive_strength_of_the_land_iv	23	stat_armour	add
wh_dlc03_hero_passive_strength_of_the_land_iv	11	stat_resistance_missile	add
wh_dlc03_hero_passive_the_unrelenting_warherd_iii	16	stat_melee_attack	add
wh_dlc03_hero_passive_the_unrelenting_warherd_ii	12	stat_melee_attack	add
wh_dlc03_hero_passive_the_unrelenting_warherd_i	8	stat_melee_attack	add
wh_dlc03_hero_passive_the_unrelenting_warherd_iv	1.36	stat_charge_bonus	mult
wh_dlc03_hero_passive_the_unrelenting_warherd_iv	16	stat_melee_attack	add
wh_dlc03_item_abilities_chalice_of_dark_rain	-30	stat_accuracy	add
wh_dlc03_item_abilities_hagtree_fetish	0.5	scalar_miscast_chance	mult
wh_dlc03_item_abilities_horn_of_the_first_beast	1.18	stat_charge_bonus	mult
wh_dlc03_item_abilities_horn_of_the_first_beast	24	stat_melee_attack	add
wh_dlc03_item_abilities_horn_of_the_first_beast	8	stat_morale	add
wh_dlc03_item_passive_banner_of_the_fallen_king	1.12	stat_melee_damage_ap	mult
wh_dlc03_item_passive_banner_of_the_fallen_king	1.12	stat_melee_damage_base	mult
wh_dlc03_item_passive_blackened_plate	20	stat_resistance_flame	add
wh_dlc03_item_passive_icon_of_vilification	12	stat_morale	add
wh_dlc03_item_passive_the_dark_mail	30	stat_armour	add
wh_dlc03_item_passive_the_dark_mail	25	stat_resistance_magic	add
wh_dlc03_item_passive_trollhide	-22	stat_weakness_flame	add
wh_dlc03_lord_passive_crush_the_weak	-5	stat_melee_attack	add
wh_dlc03_lord_passive_crush_the_weak	-5	stat_melee_defence	add
wh_dlc03_lore_passive_bestial_surge	1.18	stat_charge_bonus	mult
wh_dlc03_quest_passive_poisoning	0.52	scalar_speed	mult
wh_dlc03_spell_beasts_panns_impenetrable_pelt_upgraded	1.24	scalar_speed	mult
wh_dlc03_spell_beasts_panns_impenetrable_pelt_upgraded	22	stat_resistance_physical	add
wh_dlc03_spell_beasts_panns_impenetrable_pelt	1.24	scalar_speed	mult
wh_dlc03_spell_beasts_panns_impenetrable_pelt	22	stat_resistance_physical	add
wh_dlc03_spell_beasts_the_curse_of_anraheir	0.76	scalar_speed	mult
wh_dlc03_spell_beasts_the_curse_of_anraheir	-30	stat_accuracy	add
wh_dlc03_spell_beasts_the_curse_of_anraheir	-24	stat_melee_attack	add
wh_dlc03_spell_beasts_wyssans_wildform	30	stat_armour	add
wh_dlc03_spell_beasts_wyssans_wildform	1.3	stat_melee_damage_base	mult
wh_dlc03_spell_wild_devolve_upgraded	-8	stat_morale	add
wh_dlc03_spell_wild_devolve	-8	stat_morale	add
wh_dlc03_spell_wild_mantle_of_ghorok	-30	stat_armour	add
wh_dlc03_spell_wild_mantle_of_ghorok	40	stat_melee_attack	add
wh_dlc03_spell_wild_mantle_of_ghorok	1.5	stat_melee_damage_ap	mult
wh_dlc03_spell_wild_mantle_of_ghorok	1.5	stat_melee_damage_base	mult
wh_dlc03_spell_wild_traitor_kin_upgraded	0.52	scalar_speed	mult
wh_dlc03_spell_wild_traitor_kin	0.76	scalar_speed	mult
wh_dlc03_unit_abilities_slaughterers_call	1.08	stat_charge_bonus	mult
wh_dlc03_unit_abilities_slaughterers_call	9	stat_melee_attack	add
wh_dlc03_unit_abilities_slaughterers_call	8	stat_morale	add
wh_dlc03_unit_passive_bloodgreed	15	stat_morale	add
wh_dlc03_unit_passive_drunken	4	stat_morale	add
wh_dlc03_unit_passive_primal_fury	1.12	scalar_speed	mult
wh_dlc03_unit_passive_primal_fury	1.08	stat_charge_bonus	mult
wh_dlc03_unit_passive_primal_fury	5	stat_melee_attack	add
wh_dlc03_unit_passive_soul_eater	1.25	scalar_miscast_chance	mult
wh_dlc03_weapon_abilities_scourge	24	stat_melee_attack	add
wh_dlc03_weapon_abilities_scourge	24	stat_melee_defence	add
wh_dlc03_weapon_passive_mangelder	-8	stat_morale	add
wh_dlc03_weapon_passive_the_brass_cleaver	9	stat_melee_attack	add
wh_dlc04_hero_passive_divine_power	1.25	scalar_miscast_chance	mult
wh_dlc04_item_abilities_the_carstein_ring	90	stat_resistance_all	add
wh_dlc04_lord_abilities_beguile	-40	stat_melee_attack	add
wh_dlc04_lord_passive_aura_of_dark_majesty	-4	stat_morale	add
wh_dlc04_spell_bound_hammer_of_sigmar_upgraded	24	stat_melee_attack	add
wh_dlc04_spell_bound_shield_of_faith_upgraded	22	stat_resistance_all	add
wh_dlc04_unit_contact_helmans_blight	0.8	scalar_missile_damage_ap	mult
