,abilities,ammo,armour,attributes,base_reload_time,caste,category,charge_bonus,charge_speed,charge_speed_flying,damage_mod_all,damage_mod_flame,damage_mod_magic,damage_mod_missile,damage_mod_physical,entity_size,explosion_ap_damage,explosion_base_damage,explosion_radius,faction_group,factions,ground_stat_effect_group,health,health_per_entity,height,key,leadership,mass,melee_ap_damage,melee_ap_ratio,melee_attack,melee_attack_interval,melee_base_damage,melee_bonus_v_infantry,melee_bonus_v_large,melee_defence,melee_total_damage,multiplayer_cost,name,parry_chance,projectile_number,radius,range,ranged_ap_damage,ranged_ap_ratio,ranged_base_damage,ranged_bonus_v_infantry,ranged_bonus_v_large,ranged_total_damage,shots_per_volley,special_category,speed,speed_flying,speed_ground,spells,unit_size
141,"['Tombstrike', 'Reanimate', 'My Will Be Done', 'The Curse', 'Disintegrating', 'Crumbling']",,80,"['causes_fear', 'encourages', 'undead']",,Lord,Chariot,80,103,0,0,-25,0,15,0,medium,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,4372,4372,2.0,wh2_dlc09_tmb_cha_tomb_king_2,80,900,120,0.34,34,4.0,230,28,0,26,350,1350,Tomb King on Skeleton Chariot,35,,1.4,,,,,,,,,,74,0,74,[],1
142,"['Tombstrike', 'Reanimate', 'My Will Be Done', 'The Curse', 'Disintegrating', 'Crumbling']",,95,"['causes_fear', 'causes_terror', 'encourages', 'undead']",,Lord,Monster,64,100,0,0,-25,0,15,0,very_large,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,7362,7362,6.75,wh2_dlc09_tmb_cha_tomb_king_3,80,5500,345,0.7,34,3.5,145,15,0,42,490,2000,Tomb King on Khemrian Warsphinx,0,,4.0,,,,,,,,,,68,0,68,[],1
143,"['Curse of Khsar', 'Disintegrating', 'Crumbling']",,30,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Hero,Wizard,10,41,0,0,0,0,15,0,small,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",small,2640,2640,2.2,wh2_dlc09_tmb_cha_liche_priest_death_0,60,600,90,0.3,25,4.0,210,0,0,30,300,300,Liche Priest (Death),0,,0.7,,,,,,,,,,31,0,31,"['Life Leeching', 'Aspect of the Dread Knight', 'Doom & Darkness', 'Soulblight', 'Spirit Leech', 'The Fate of Bjuna', 'The Purple Sun of Xereus']",1
144,"['Curse of Khsar', 'Disintegrating', 'Crumbling']",,30,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Hero,Wizard,30,110,0,0,0,0,15,0,medium,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,2961,2961,2.0,wh2_dlc09_tmb_cha_liche_priest_death_1,60,900,90,0.3,25,4.0,210,0,0,30,300,500,Liche Priest (Death) on Skeletal Steed,0,,1.4,,,,,,,,,,76,0,76,"['Life Leeching', 'Aspect of the Dread Knight', 'Doom & Darkness', 'Soulblight', 'Spirit Leech', 'The Fate of Bjuna', 'The Purple Sun of Xereus']",1
145,"['Curse of Khsar', 'Disintegrating', 'Crumbling']",,30,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Hero,Wizard,10,41,0,0,0,0,15,0,small,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",small,2640,2640,2.2,wh2_dlc09_tmb_cha_liche_priest_light_0,60,600,90,0.3,25,4.0,210,0,0,30,300,300,Liche Priest (Light),0,,0.7,,,,,,,,,,31,0,31,"['Exorcism', 'Banishment', ""Birona's Timewarp"", 'Light of Battle', 'Net of Amyntok', ""Pha's Protection"", ""Shem's Burning Gaze""]",1
146,"['Curse of Khsar', 'Disintegrating', 'Crumbling']",,30,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Hero,Wizard,30,110,0,0,0,0,15,0,medium,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,2961,2961,2.0,wh2_dlc09_tmb_cha_liche_priest_light_1,60,900,90,0.3,25,4.0,210,0,0,30,300,500,Liche Priest (Light) on Skeletal Steed,0,,1.4,,,,,,,,,,76,0,76,"['Exorcism', 'Banishment', ""Birona's Timewarp"", 'Light of Battle', 'Net of Amyntok', ""Pha's Protection"", ""Shem's Burning Gaze""]",1
147,"['Curse of Khsar', 'Disintegrating', 'Crumbling']",,30,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Hero,Wizard,10,41,0,0,0,0,15,0,small,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",small,2640,2640,2.2,wh2_dlc09_tmb_cha_liche_priest_nehekhara_0,60,600,90,0.3,25,4.0,210,0,0,30,300,300,Liche Priest (Nehekhara),0,,0.7,,,,,,,,,,31,0,31,"['The Restless Dead', ""Djaf's Incantation of Cursed Blades"", ""Neru's Incantation of Protection"", ""Ptra's Incantation of Righteous Smiting"", ""Sakhmet's Incantation of the Skullstorm"", ""Usekhp's Incantation of Desiccation"", ""Usirian's Incantation of Vengeance""]",1
148,"['Curse of Khsar', 'Disintegrating', 'Crumbling']",,30,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Hero,Wizard,30,110,0,0,0,0,15,0,medium,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,2961,2961,2.0,wh2_dlc09_tmb_cha_liche_priest_nehekhara_1,60,900,90,0.3,25,4.0,210,0,0,30,300,500,Liche Priest (Nehekhara) on Skeletal Steed,0,,1.4,,,,,,,,,,76,0,76,"['The Restless Dead', ""Djaf's Incantation of Cursed Blades"", ""Neru's Incantation of Protection"", ""Ptra's Incantation of Righteous Smiting"", ""Sakhmet's Incantation of the Skullstorm"", ""Usekhp's Incantation of Desiccation"", ""Usirian's Incantation of Vengeance""]",1
149,"['Curse of Khsar', 'Disintegrating', 'Crumbling']",,30,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Hero,Wizard,10,41,0,0,0,0,15,0,small,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",small,2640,2640,2.2,wh2_dlc09_tmb_cha_liche_priest_shadow_0,60,600,90,0.3,25,4.0,210,0,0,30,300,300,Liche Priest (Shadows),0,,0.7,,,,,,,,,,31,0,31,"['Smoke & Mirrors', ""Melkoth's Mystifying Miasma"", ""Okkam's Mindrazor"", 'Pit of Shades', 'The Enfeebling Foe', 'The Penumbral Pendulum', 'The Withering']",1
150,"['Curse of Khsar', 'Disintegrating', 'Crumbling']",,30,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Hero,Wizard,30,110,0,0,0,0,15,0,medium,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,2961,2961,2.0,wh2_dlc09_tmb_cha_liche_priest_shadow_1,60,900,90,0.3,25,4.0,210,0,0,30,300,500,Liche Priest (Shadows) on Skeletal Steed,0,,1.4,,,,,,,,,,76,0,76,"['Smoke & Mirrors', ""Melkoth's Mystifying Miasma"", ""Okkam's Mindrazor"", 'Pit of Shades', 'The Enfeebling Foe', 'The Penumbral Pendulum', 'The Withering']",1
151,"['Restore', 'Stone Shaper', 'Wrath of the Creator', 'Disintegrating', 'Crumbling']",,50,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Hero,Whip Infantry,20,41,0,0,-25,0,15,0,small,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",small,2841,2841,2.2,wh2_dlc09_tmb_cha_necrotect_0,65,600,120,0.33,45,4.0,240,20,0,30,360,550,Necrotect,0,,0.7,,,,,,,,,,31,0,31,[],1
152,"['Restore', 'Stone Shaper', 'Wrath of the Creator', 'Disintegrating', 'Crumbling']",,80,"['causes_fear', 'encourages', 'undead']",,Hero,Whip Infantry,75,103,0,0,-25,0,15,0,medium,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,3631,3631,2.0,wh2_dlc09_tmb_cha_necrotect_1,65,900,120,0.34,28,4.0,230,28,0,24,350,900,Necrotect on Skeleton Chariot,0,,1.4,,,,,,,,,,74,0,74,[],1
153,"['Curse of Djaf', 'Tombstrike', 'Guardian', 'Disintegrating', 'Crumbling']",,70,"['causes_fear', 'charge_reflector_vs_large', 'encourages', 'hide_forest', 'undead']",,Hero,Halberd Infantry,15,41,0,0,-25,0,15,0,small,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",small,3201,3201,2.2,wh2_dlc09_tmb_cha_tomb_prince_0,70,600,260,0.7,36,4.0,110,0,25,48,370,700,Tomb Prince,55,,0.7,,,,,,,,,,31,0,31,[],1
154,"['Curse of Djaf', 'Tombstrike', 'Guardian', 'Disintegrating', 'Crumbling']",,70,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Hero,Halberd Infantry,35,110,0,0,-25,0,15,0,medium,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,3507,3507,2.0,wh2_dlc09_tmb_cha_tomb_prince_1,70,900,260,0.7,36,4.0,110,0,25,48,370,900,Tomb Prince on Skeletal Steed,35,,1.4,,,,,,,,,,76,0,76,[],1
155,"['Curse of Djaf', 'Tombstrike', 'Guardian', 'Disintegrating', 'Crumbling']",,80,"['causes_fear', 'encourages', 'undead']",,Hero,Halberd Infantry,80,103,0,0,-25,0,15,0,medium,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,3931,3931,2.0,wh2_dlc09_tmb_cha_tomb_prince_2,70,900,120,0.34,30,4.0,230,28,0,24,350,950,Tomb Prince on Skeleton Chariot,0,,1.4,,,,,,,,,,74,0,74,[],1
156,"['Disintegrating', 'Crumbling']",,10,"['causes_fear', 'hide_forest', 'undead']",,Melee Infantry,Cudgel Infantry,16,46,0,0,0,0,0,0,small,,,,tmb,['Followers of Nagash'],small,5670,63,1.5,wh2_dlc09_tmb_inf_crypt_ghouls,44,90,4,0.1,27,4.3,36,0,0,25,40,525,Crypt Ghouls,0,,0.6,,,,,,,,,,38,0,38,[],90
157,"['Realm of Souls Tier 1', 'Realm of Souls Tier 2', 'Realm of Souls Tier 3', 'Disintegrating', 'Crumbling']",,45,"['causes_fear', 'hide_forest', 'undead']",,Melee Infantry,Sword Infantry,15,31,0,0,0,0,0,0,small,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",small,6840,76,1.8,wh2_dlc09_tmb_inf_nehekhara_warriors_0,44,80,7,0.21,32,4.5,26,0,0,22,33,525,Nehekhara Warriors,0,,0.6,,,,,,,,,,28,0,28,[],90
158,"['Realm of Souls Tier 1', 'Realm of Souls Tier 2', 'Realm of Souls Tier 3', 'Disintegrating', 'Crumbling']",,0,"['causes_fear', 'hide_forest', 'strider', 'undead']",,Melee Infantry,Sword Infantry,15,44,0,0,0,0,0,70,small,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",small,5220,58,1.8,wh2_dlc09_tmb_inf_nehekhara_warriors_ror,49,80,9,0.21,48,4.5,33,9,0,32,42,950,Usirian's Legion of the Netherworld (Nehekhara Warriors),0,,0.6,,,,,,,,,crafted,35,0,35,[],90
159,"['Realm of Souls Tier 1', 'Realm of Souls Tier 2', 'Realm of Souls Tier 3', 'Disintegrating', 'Crumbling']",,10,"['causes_fear', 'charge_reflector_vs_large', 'hide_forest', 'undead']",,Melee Infantry,Spear Infantry,3,31,0,0,0,0,0,0,small,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",small,7320,61,1.8,wh2_dlc09_tmb_inf_skeleton_spearmen_0,30,80,6,0.25,14,4.5,18,0,14,30,24,350,Skeleton Spearmen,55,,0.6,,,,,,,,,,28,0,28,[],120
160,"['Realm of Souls Tier 1', 'Realm of Souls Tier 2', 'Realm of Souls Tier 3', 'Disintegrating', 'Crumbling']",,45,"['causes_fear', 'charge_reflector', 'hide_forest', 'undead']",,Melee Infantry,Spear Infantry,3,31,0,0,0,0,0,0,small,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",small,7320,61,1.8,wh2_dlc09_tmb_inf_skeleton_spearmen_ror,40,80,5,0.21,19,4.5,19,0,14,38,24,600,King Nekhesh's Scorpion Legion (Skeleton Spearmen),55,,0.6,,,,,,,,,renown,28,0,28,[],120
161,"['Realm of Souls Tier 1', 'Realm of Souls Tier 2', 'Realm of Souls Tier 3', 'Disintegrating', 'Crumbling']",,10,"['causes_fear', 'hide_forest', 'undead']",,Melee Infantry,Sword Infantry,5,31,0,0,0,0,0,0,small,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",small,7320,61,1.8,wh2_dlc09_tmb_inf_skeleton_warriors_0,30,80,6,0.23,18,4.3,20,0,0,22,26,325,Skeleton Warriors,55,,0.6,,,,,,,,,,28,0,28,[],120
162,"['Realm of Souls Tier 1', 'Realm of Souls Tier 2', 'Realm of Souls Tier 3', 'Disintegrating', 'Crumbling']",,50,"['causes_fear', 'hide_forest', 'undead']",,Melee Infantry,Sword Infantry,8,31,0,0,0,0,0,0,small,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",small,7380,82,1.8,wh2_dlc09_tmb_inf_tomb_guard_0,60,120,9,0.21,32,4.4,33,0,0,41,42,750,Tomb Guard,55,,0.6,,,,,,,,,,28,0,28,[],90
163,"['Realm of Souls Tier 1', 'Realm of Souls Tier 2', 'Realm of Souls Tier 3', 'Disintegrating', 'Crumbling']",,50,"['causes_fear', 'charge_reflector_vs_large', 'hide_forest', 'undead']",,Melee Infantry,Halberd Infantry,5,31,0,0,0,0,0,0,small,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",small,7380,82,1.8,wh2_dlc09_tmb_inf_tomb_guard_1,60,120,20,0.69,25,4.9,9,0,19,47,29,850,Tomb Guard (Halberds),55,,0.6,,,,,,,,,,28,0,28,[],90
164,"['Realm of Souls Tier 1', 'Realm of Souls Tier 2', 'Realm of Souls Tier 3', 'Disintegrating', 'Crumbling', 'Regeneration']",,50,"['causes_fear', 'hide_forest', 'undead']",,Melee Infantry,Sword Infantry,15,31,0,0,0,0,0,0,small,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",small,7380,82,1.8,wh2_dlc09_tmb_inf_tomb_guard_ror,70,120,9,0.21,41,4.5,33,9,0,43,42,1050,The Khepra Guard (Tomb Guard),0,,0.6,,,,,,,,,renown,28,0,28,[],90
165,"['Realm of Souls Tier 1', 'Realm of Souls Tier 2', 'Realm of Souls Tier 3', 'Disintegrating', 'Crumbling']",22.0,10,"['causes_fear', 'hide_forest', 'undead']",8.0,Missile Infantry,Missile Infantry,3,35,0,0,0,0,0,0,small,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",small,5130,57,1.8,wh2_dlc09_tmb_inf_skeleton_archers_0,30,80,3,0.15,10,4.4,17,0,0,14,20,475,Skeleton Archers,0,1.0,0.6,140.0,1.0,0.09,10.0,0.0,0.0,11.0,1.0,,31,0,31,[],90
166,"['Realm of Souls Tier 1', 'Realm of Souls Tier 2', 'Realm of Souls Tier 3', 'Disintegrating', 'Crumbling']",22.0,30,"['causes_fear', 'hide_forest', 'undead']",8.0,Missile Infantry,Missile Infantry,3,35,0,0,0,0,0,0,small,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",small,5130,57,1.8,wh2_dlc09_tmb_inf_skeleton_archers_ror,40,80,3,0.15,14,4.4,17,0,0,19,20,675,Blessed Legion of Phakth (Skeleton Archers),0,1.0,0.6,160.0,1.0,0.09,10.0,0.0,0.0,11.0,1.0,renown,31,0,31,[],90
167,"['Crumbling', 'Disintegrating']",,0,"['causes_fear', 'causes_terror', 'guerrilla_deploy', 'hide_forest', 'strider', 'undead']",,Melee Cavalry,Cavalry,34,110,0,0,0,0,0,75,medium,,,,tmb,['Followers of Nagash'],ethereal,4320,96,2.0,wh2_dlc09_tmb_cav_hexwraiths,40,750,37,0.88,26,4.6,5,0,0,23,42,1475,Hexwraiths,0,,1.45,,,,,,,,,,94,0,94,[],45
168,"['Realm of Souls Tier 1', 'Realm of Souls Tier 2', 'Realm of Souls Tier 3', 'Disintegrating', 'Crumbling']",,50,"['causes_fear', 'hide_forest', 'undead']",,Melee Cavalry,Cavalry,26,108,0,0,0,0,0,0,medium,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,4950,110,2.0,wh2_dlc09_tmb_cav_nehekhara_horsemen_0,50,900,10,0.26,28,5.0,28,0,0,32,38,650,Nehekhara Horsemen,30,,1.4,,,,,,,,,,78,0,78,[],45
169,"['Realm of Souls Tier 1', 'Realm of Souls Tier 2', 'Realm of Souls Tier 3', 'Disintegrating', 'Crumbling']",,80,"['causes_fear', 'hide_forest', 'undead']",,Melee Cavalry,Cavalry,50,115,0,0,0,0,0,0,medium,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,7065,157,2.0,wh2_dlc09_tmb_cav_nehekhara_horsemen_ror,65,1000,10,0.26,43,5.0,28,0,0,50,38,900,Storm Riders of Khsar (Nehekhara Horsemen),30,,1.4,,,,,,,,,crafted,85,0,85,[],45
170,"['Realm of Souls Tier 1', 'Realm of Souls Tier 2', 'Realm of Souls Tier 3', 'Disintegrating', 'Crumbling']",,20,"['causes_fear', 'guerrilla_deploy', 'hide_forest', 'undead']",,Melee Cavalry,Spear Cavalry,26,108,0,0,0,0,0,0,medium,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,3870,86,2.3,wh2_dlc09_tmb_cav_skeleton_horsemen_0,36,700,5,0.2,22,4.5,20,0,0,26,25,400,Skeleton Horsemen,30,,1.2,,,,,,,,,,76,0,76,[],45
171,"['Realm of Souls Tier 1', 'Realm of Souls Tier 2', 'Realm of Souls Tier 3', 'Disintegrating', 'Crumbling']",18.0,20,"['causes_fear', 'guerrilla_deploy', 'hide_forest', 'mounted_fire_move', 'undead']",11.0,Missile Cavalry,Missile Cavalry,14,108,0,0,0,0,0,0,medium,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,3870,86,2.3,wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0,36,700,3,0.15,16,4.4,17,0,0,18,20,500,Skeleton Horsemen Archers,0,1.0,1.2,140.0,3.0,0.18,14.0,0.0,0.0,17.0,1.0,,76,0,76,[],45
172,"['Covenant of Power', 'Disintegrating', 'Crumbling']",20.0,80,"['causes_fear', 'hide_forest', 'undead']",18.0,Chariot,Magical Artillery,8,30,0,0,0,0,15,0,very_large,64.0,28.0,4.0,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,2976,2976,1.7,wh2_dlc09_tmb_art_casket_of_souls_0,60,4000,6,0.23,20,4.3,20,0,0,14,26,1250,Casket of Souls,0,7.0,2.2,440.0,90.0,0.69,40.0,0.0,0.0,130.0,1.0,,26,0,26,[],1
173,"['Realm of Souls Tier 1', 'Realm of Souls Tier 2', 'Realm of Souls Tier 3', 'Disintegrating', 'Crumbling']",30.0,80,"['causes_fear', 'undead']",6.0,Chariot,Missile Chariot,58,103,0,0,0,0,0,0,medium,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,4491,499,2.0,wh2_dlc09_tmb_veh_skeleton_archer_chariot_0,55,900,10,0.29,22,4.0,24,12,0,24,34,950,Skeleton Archer Chariots,0,1.0,1.4,140.0,13.0,0.36,23.0,0.0,0.0,36.0,1.0,,74,0,74,[],9
174,"['Realm of Souls Tier 1', 'Realm of Souls Tier 2', 'Realm of Souls Tier 3', 'Disintegrating', 'Crumbling']",,80,"['causes_fear', 'undead']",,Chariot,Chariot,58,103,0,0,0,0,0,0,medium,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,4491,499,2.0,wh2_dlc09_tmb_veh_skeleton_chariot_0,55,900,10,0.29,22,4.0,24,12,0,24,34,800,Skeleton Chariots,0,,1.4,,,,,,,,,,74,0,74,[],9
175,"['Disintegrating', 'Crumbling']",,20,"['causes_fear', 'guerrilla_deploy', 'undead']",,War Beast,Flying War Beasts,12,90,120,0,0,0,0,0,small,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",small,3780,210,1.6,wh2_dlc09_tmb_mon_carrion_0,35,80,10,0.25,26,4.0,30,0,0,46,40,425,Carrion,0,,1.0,,,,,,,,,,100,100,70,[],18
176,"['Death from Above', 'Disintegrating', 'Crumbling']",,45,"['causes_fear', 'guerrilla_deploy', 'undead']",,War Beast,Flying War Beasts,22,110,150,0,0,0,0,0,large,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",small,4050,506,2.1,wh2_dlc09_tmb_mon_carrion_ror,50,200,45,0.75,38,4.0,15,0,0,46,60,500,The Flock of Djaf (Carrion),0,,1.8,,,,,,,,,crafted,120,120,80,[],8
177,"['Disintegrating', 'Crumbling']",,0,"['causes_fear', 'guerrilla_deploy', 'hide_forest', 'strider', 'undead']",,War Beast,War Beasts,24,120,0,0,0,0,0,0,small,,,,tmb,['Followers of Nagash'],small,4560,76,1.2,wh2_dlc09_tmb_mon_dire_wolves,30,150,3,0.14,26,4.6,19,0,0,14,22,525,Dire Wolves,0,,0.9,,,,,,,,,,95,0,95,[],60
178,"['Disintegrating', 'Crumbling']",,0,"['causes_fear', 'undead']",,War Beast,Flying War Beasts,6,90,120,0,0,0,0,0,small,,,,tmb,['Followers of Nagash'],small,3150,70,1.6,wh2_dlc09_tmb_mon_fell_bats,30,70,2,0.09,14,4.3,20,0,0,44,22,375,Fell Bats,0,,0.6,,,,,,,,,,110,110,70,[],45
179,"['Disintegrating', 'Crumbling']",8.0,80,"['causes_fear', 'charge_reflector_vs_large', 'construct', 'guerrilla_deploy', 'hide_forest', 'stalk']",10.0,Monstrous Infantry,Monstrous Infantry,10,75,0,0,0,0,0,0,large,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,5280,440,3.2,wh2_dlc09_tmb_mon_sepulchral_stalkers_0,50,900,52,0.69,22,4.7,23,0,18,30,75,1200,Sepulchral Stalkers,0,1.0,1.35,80.0,104.0,0.8,26.0,0.0,0.0,130.0,1.0,,50,0,50,[],12
180,"['Disintegrating', 'Crumbling']",8.0,80,"['causes_fear', 'charge_reflector_vs_large', 'construct', 'guerrilla_deploy', 'hide_forest', 'stalk']",10.0,Monstrous Infantry,Monstrous Infantry,10,75,0,0,0,0,25,0,large,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,5280,440,3.2,wh2_dlc09_tmb_mon_sepulchral_stalkers_ror,60,900,52,0.69,29,4.7,23,0,18,38,75,1350,Eyes of the Desert (Sepulchral Stalkers),0,1.0,1.35,80.0,104.0,0.8,26.0,0.0,0.0,130.0,1.0,renown,50,0,50,[],12
181,"['Disintegrating', 'Crumbling']",,90,"['causes_fear', 'construct', 'hide_forest']",,Monstrous Infantry,Monstrous Infantry,18,78,0,0,0,0,0,0,large,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,6096,508,3.2,wh2_dlc09_tmb_mon_ushabti_0,44,1500,52,0.72,23,3.8,20,5,0,35,72,900,Ushabti,0,,1.0,,,,,,,,,,54,0,54,[],12
182,"['Disintegrating', 'Crumbling']",21.0,90,"['causes_fear', 'construct', 'hide_forest']",11.0,Monstrous Infantry,Monstrous Missile Infantry,18,78,0,0,0,0,0,0,large,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,4572,508,3.2,wh2_dlc09_tmb_mon_ushabti_1,40,1500,47,0.72,23,3.8,18,0,0,35,65,1100,Ushabti (Great Bow),0,1.0,1.0,255.0,104.0,0.85,18.0,0.0,0.0,122.0,1.0,,54,0,54,[],9
183,"['Disintegrating', 'Crumbling']",21.0,90,"['causes_fear', 'construct', 'hide_forest']",11.0,Monstrous Infantry,Monstrous Missile Infantry,18,78,0,0,0,0,0,0,large,26.0,52.0,6.0,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,4572,508,3.2,wh2_dlc09_tmb_mon_ushabti_ror,50,1500,47,0.72,30,3.8,18,0,0,44,65,1300,Chosen of the Gods (Ushabti - Great Bow),0,1.0,1.0,255.0,16.0,0.8,4.0,0.0,0.0,20.0,1.0,renown,54,0,54,[],9
184,"['Disintegrating', 'Crumbling']",,110,"['causes_fear', 'construct', 'hide_forest']",,Monstrous Cavalry,Monstrous Cavalry,52,100,0,0,0,0,0,0,large,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,5400,300,3.7,wh2_dlc09_tmb_cav_necropolis_knights_0,60,1300,40,0.66,40,5.4,21,0,0,41,61,1450,Necropolis Knights,30,,1.35,,,,,,,,,,66,0,66,[],18
185,"['Disintegrating', 'Crumbling']",,110,"['causes_fear', 'construct', 'hide_forest']",,Monstrous Cavalry,Monstrous Cavalry,40,100,0,0,0,0,0,0,large,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,5400,300,3.7,wh2_dlc09_tmb_cav_necropolis_knights_1,60,1300,36,0.65,32,5.4,19,0,28,35,55,1600,Necropolis Knights (Halberds),0,,1.35,,,,,,,,,,66,0,66,[],18
186,"['Disintegrating', 'Crumbling']",,110,"['causes_fear', 'construct', 'hide_forest']",,Monstrous Cavalry,Monstrous Cavalry,74,105,0,0,0,0,0,0,large,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,7632,424,3.7,wh2_dlc09_tmb_cav_necropolis_knights_ror,75,1300,40,0.66,55,5.4,21,0,0,54,61,1700,Venom Knights of Asaph (Necropolis Knights),30,,1.35,,,,,,,,,crafted,76,0,76,[],18
187,"['Spirit Leech', 'Spirit Conduit', 'Disintegrating', 'Crumbling', ""Shem's Burning Gaze""]",,100,"['causes_fear', 'causes_terror', 'construct']",,Monster,Magical Monster,20,38,0,0,0,0,0,0,very_large,,,,tmb,"['Exiles of Nehek', 'Followers of Nagash', 'Court of Lybaras', 'Tomb Kings']",large,9465,9465,9.0,wh2_dlc09_tmb_mon_heirotitan_0,60,6500,413,0.75,56,4.0,137,0,0,45,550,2000,Hierotitan,0,,2.4,,,,,,,,,,32,0,32,[],1
